level_0,index,Lyrics
884,979,"Listen, hear, he is inside.
One who lives while others lie.
I close my eyes and walk a thousand years.
A thousand years that aren't mine.
Hey!
It seems he's near me as I walk.
One who loved what love denied.
He lives these years that I walk blind.
All these years cannot be mine.
Tomorrow begat tomorrow.
Tomorrow begat tomorrow.
Tomorrow begat tomorrow, oh.
A thousand doors, a thousand lies.
Rooms a thousand years wide.
I walk in the cold sun and wind.
All these years will not begin.
Tomorrow begat tomorrow.
Tomorrow begat tomorrow.
Tomorrow begat tomorrow.
Tomorrow.
Tomorrow begat.
Tomorrow.
Tomorrow.
Tomorrow.
Tomorrow.
"
885,980,"What if all you understand.
Could fit into the center of our hand?
Then you found it wasn't you.
Who held the sum of everything you knew.
We're insane, but not alone.
You hold on and let go.
Like the sun, we will live to rise.
Like the sun we will live and die and then ignite again.
Like the sun, we will live to rise, again.
What if the one thing that I missed.
Was everything I need to pass the test?
And if I fail, what happens then?
Can I still count on you as a friend?
We're insane, but not alone.
You hold on and let go.
Like the sun, we will live to rise.
Like the sun we will live and die and then ignite again.
Like the sun, we will live to rise again.
Again, again, again.
Warm my face, warm your face.
Warm my face, warm your face.
Warm my face, warm your face.
Warm my face, warm your face.
Warm my face, warm your face.
Like the sun, we will live to rise.
Like the sun, we will live and die and then ignite again.
Like the sun, we will live to rise.
Like the sun, we will live and die and then ignite again.
Like the sun, we will live to rise again.
Again.
"
886,981,"Long time coming.
Seemed to get me through.
Long time coming.
Many serve the few.
Long to taste the shame.
That bows down before you.
Long time coming.
It seemed to get me by.
Long time coming.
It seemed to satisfy.
You longed to taste the shame.
That everybody tries.
Shame, shame.
Throw yourself away.
Give me little bits of.
More than I can take.
If it sits upon your tongue.
Or naked in your eyes.
Give me little bits of.
More than I can try.
Throw yourself away.
Throw yourself away.
Long time coming.
It seemed to get me through.
Long time coming.
Many served the few.
And long to taste the shame.
That bows down before you.
Yeah!
Shame, shame.
Throw yourself away.
Give me little bits of.
More than I can take.
If it sits upon your tongue.
Or naked in your eye.
Give me little bits of.
More than I can try.
Throw yourself away.
Throw yourself away.
Throw yourself away.
Throw yourself away.
Throw yourself away.
Throw yourself away.
Throw yourself away.
Throw yourself away.
Throw yourself away.
Long time coming.
Long time coming.
"
887,983,"Ooooh.
Oooooooo.
I think I know the answer.
I stumbled on, and all the world fell down.
And all the sky went silent.
Cracked like glass and slowly tumbled to the ground.
They say if you look hard.
You find your way back home.
Born without a friend.
Bound to die alone.
Yeah.
Oooh, ooh.
Ooooo.
Oooooo.
I'm thinking of your highness.
Crying long upon the loss I've found.
And on the plus and minus.
Zero chance of ever turning this around.
Hey.
Why doesn't anyone believe in loneliness?
Stand up, and everyone will see your holiness.
Ahh, yes.
They say if you look hard.
You find your way back home.
Born without a friend.
Bound to die alone.
Oooooo.
Wooooo.
"
888,984,"There's no time to keep it low.
I've been deaf, now I want noise.
You stay down, but I won't be quiet.
I'll hammer on until you fight.
Loud love.
Loud love.
Loud love.
Loud love, yeah.
Hammer on till you fight.
If you've got some time to kill.
Slow resistance wins the war.
Well, I know, yeah, but that's no way to go.
You can't resist the louder pull.
It's loud love.
Yeah, loud love.
Loud love.
Loud love, yeah.
Can't resist the louder pull, yeah.
All right!
That's right.
I want something to explode.
I've been deaf.
Now I want noise.
Loud love.
Yeah, loud love.
Loud love.
Yeah, loud love, love.
Yeah.
"
889,985,"I was slipping through the cracks of stolen jewel.
I was tightrope walking in two-ton shoes.
Now somebody's talking of third world war.
(I've been caught in a mind riot).
And the police said, ""This is normal control"".
(I've been caught in a mind riot).
Candle was burning yesterday.
Like somebody's best friend died.
I've been caught in a mind riot.
(Mind riot).
I was crying from my eye teeth and bleeding from my soul.
And I sharpened my wits on a dead man's skull.
I built an elevator from his bones.
(I've been caught in a mind riot).
Had to climb to the top floor to stamp out the coals.
(I've been caught in a mind riot).
Candle was burning yesterday.
Like somebody's best friend died.
I've been caught in a mind riot.
I'm tied within.
Candle was burning yesterday.
Like somebody's best friend died.
I've been caught in a mind riot.
I'm tied within.
I'm luck's last match struck.
In the pouring down wind.
Pouring down wind.
Mind riot.
Mind riot.
Mind riot.
Mind riot.
"
890,986,"I'm sitting in a magic hat with smoke and mirrors.
And tire-rubber fires watch me disappear, yeah.
What made it slow you down sucking on a ball and chain.
Another motherfucker down the drain, yeah.
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Just add it up (to the hot rod death toll).
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Just add it up (to the hot rod death toll).
Sick in the head, sick in the mouth.
Can't hear a word you say, not a bit, and I don't give a shit, yeah.
Got the glass, got the steel, I got everything.
And all I need is your head on a stake, yeah.
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Just add it up (to the hot rod death toll).
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Just add it up (to the hot rod death toll).
Hard-headed fuck you all.
(Hard-headed).
Hard-headed fuck you all.
(Hard-headed).
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Hard-headed fuck you all.
Just add it up (to the hot rod death toll).
(To the hot rod death toll, hot rod death toll.
Hot rod death toll, hot rod death toll).
Go!
Go!
"
891,987,"Shadow face.
Blowing smoke and talking wind.
Lost my grip.
Fell too far to start again, start again.
A sudden snake.
Found my shape and tells the world.
Remember this.
Remember everything's just black or burning sun.
And I hope it's a sweet ride.
Sleep tight for me.
Sleep tight for me, I'm gone.
Sleep tight for me.
Sleep tight for me, I'm gone.
Warm and sweet.
Swinging from a window's ledge.
Tight and deep.
One last sin before I'm dead, before I'm dead.
A sucking holy wind.
Will take me from this bed tonight.
And bloody wits.
Another hits me, and I have to say goodbye.
Sleep tight for me.
Sleep tight for me, I'm gone.
Sleep tight for me.
Sleep tight for me, I'm gone, yeah.
Sleep tight for me.
Sleep tight for me, I'm gone.
And I hope it's a sweet ride.
Here for me tonight.
'Cause I feel I'm going.
Feel I'm slowing down.
Sleep tight for me.
Sleep tight for me, I'm gone.
Sleep tight for me.
Sleep tight for me, I'm gone.
Sleep tight for me.
Sleep tight for me, I'm gone.
Sleep tight for me.
Sleep tight for me, I'm gone.
Sleep tight for me.
Sleep tight for me, I'm gone.
Sleep tight for me.
Sleep tight for me, I'm gone.
And I hope it's a sweet ride, yeah.
Here for me tonight.
'Cause I feel I'm going.
Feel I'm slowing down.
"
892,988,"Holy water on the brain, and I'm losing sleep.
Holy Bible on the nightstand next to me.
As I'm raped by another monkey circus freak.
Trying to take my indignance away from me, from me.
Yeah, yeah, holy water's rusting me.
Yeah, holy water's rusting me.
It's rusting me.
Rusting me.
Bloody murder is the best I've heard her scream.
Holy devil in the flesh some might believe.
And they take thine majesty so seriously.
'Cause it's the big lies more likely to be believed.
Believed.
Yeah, yeah, holy water's rusting me.
Yeah, holy water's rusting me.
It's rusting me.
Rusting me, yeah.
Damn the water, if it's life you want to drink.
Mind your mother, if it makes you feel at ease.
As you're raped by another monkey circus freak.
'Cause it's the big lies more likely to be believed.
Believed.
Yeah, yeah, holy water's rusting me.
Yeah, yeah, holy water's rusting me.
Yeah, holy water's rusting me.
It's rusting me.
Rusting me.
Rusting me.
Rusting me, yeah.
Rusting me.
"
893,990,"I must obey the rules.
I must be tame and cool.
No staring at the clouds.
I must stay on the ground.
In clusters of the mice.
The smoke is in our eyes.
Like babies on display.
Like angels in a cage.
I must be pure and true.
I must contain my views.
There must be something else.
There must be something good far away.
Far away from here.
Far away, far away from here.
Far away, far away from here.
Far away, far away from here.
And I'll be here for good.
For good.
"
894,991,"You can't go home, no, I swear you never can.
You can walk a million miles and get nowhere.
I got nowhere to go ever since I came back.
Just filling in the lines from the holes to the cracks.
Yeah!
No one knows me.
No one saves me.
No one loves or hates me.
I've been away for too long.
This place has a special kind of falling apart.
Like they put the whole thing together in the dark.
No one knows where the edge of the knife is.
And no one knows where intelligent life is.
Yeah!
No one knows me.
No one saves me.
No one loves or hates me.
But it's fate.
I only ever really wanted a break.
Ive been away for too long.
Though I never really wanted to stay.
Ive been away for too long.
I've been away for too long.
I've been away for too long.
Kilos through key holes.
Widows through windows.
Pilots through eyelets.
Everyone is silent.
Tankards and flagons and snifters and flutes on my way home.
But it's fate.
I only ever really wanted a break.
Ive been away for too long.
Though I never really wanted to stay.
Ive been away, but it's fake.
I only ever really wanted a break.
Ive been away for too long.
Though I never really wanted to stay.
Ive been away for too long.
(Yeah!).
"
895,992,"Come on in and take me on an override.
Stuck inside and up all night at Dave's.
Trouble's far away, Mother's in the cage.
Nothing's gonna pinch this nerve of mine.
I wanna make it right.
I wanna make it right.
Close the door and pull the shades and climb the walls.
Feel medicine heal the lines of age.
Here and now, I'm gone, there and far beyond.
Nothing's going to pinch this nerve of mine.
Nothing's going to pinch this nerve of mine.
I wanna make it right.
I wanna make it right.
I'm on the wire, over and higher.
Over the pretense, over the spire.
On and connected.
I'm overfloating now.
I'm overfloating now.
I'm overfloating now.
I'm overfloating.
Alone, alone, alone, alone.
Alone, alone, alone, alone.
Alone, alone, alone, alone.
Breathe and take it in and gently blow it on.
Drink it down and swallow hard and gaze.
Roll the potion up, stare your shadow down.
Remember to forget and then rename your shame.
I wanna make it right.
I wanna make it right.
I wanna make it right.
I wanna make it right.
I'm on the wire, over and higher.
Over the pretense, over the spire.
On and connected.
I'm overfloating now.
I'm overfloating now.
I'm overfloating now.
I'm overfloating.
Alone, alone, alone, alone.
"
896,993,"Along her vain parade.
Along her veins.
All of seventeen.
Eyes a purple green.
Treated like a queen.
She was on borrowed self-esteem.
She would do her dance.
A painful masquerade.
Spinning you into her web.
Along her vain parade.
In her uniform.
Of studded brass and steel.
Kissing napkin lipstick stains.
And smearing sincerity.
Along her vain parade.
Along her veins.
Along her veins.
Time crept up on her.
She's in early gray.
Her reflection looks concerned.
And flowers hit her grave.
Hit her grave.
Grave.
Grave.
"
897,994,"Kickstand, you got loose, and I threw up.
Yeah, kickstand, you got the juice to fill my cup.
My mother says that it's all right.
My mother says that's the only life.
So do it right.
Do it right.
Come stand me up.
Come stand me up.
Come stand me up.
Oh, kickstand, I got a saddle made of leather.
Oh, kickstand, I got the words to come together.
I got the urge to ride your trike, yeah.
My mother says that that's the only life.
So do it right.
Do it right.
Come stand me up.
Come stand me up.
Come stand me up.
Oh, kickstand, you got loose, and I threw up.
Yeah, kickstand, you got the juice to fill my cup.
My mother says that it's all right.
Do it right.
Do it right.
Stand me up, stand me up, stand me up!
"
898,995,"(One, two, three, four).
When I hand my love in, I'll be done.
A handed glove hides the door.
Half a chance, half a chance.
We still have half a chance.
Mr. Full, Mr. Half.
Kills Mr. Empty Hand.
Half a chance, half a chance.
We still have half a chance.
"
899,996,"Oh.
Yeah.
Shoot, shoot.
I got an idea of something we can do with a gun.
Sink, load, and fire till the empire reaps what they've sown.
Shoot, shoot, shoot till their minds are open.
Shoot, shoot till their eyes are closed.
Push, push, push till we get some motion.
Push, push till the bombs explode.
Yeah, yeah.
I got an idea that we can do it all on our own.
Nothing to worry, regret must weigh a ton.
Kick, kick, kick till the laws are broken.
Kick, kick till the boots are worn.
Hit, hit, hit till the truth is spoken.
Hit, hit till the truth is born.
Yeah, born!
Fuck it up.
Yeah.
Yeah.
Ow, ow, ow, ow.
Hey-yeah.
I got an idea of something we can do with a gun.
"
900,997,"Flies, flies.
Sitting here like uninvited company.
Wallowing in my own obscenity.
I share a cigarette with negativity.
Sitting here like wet ashes with X's in my eyes.
And drawing flies.
Bathed in perspiration drowned my enemy.
Used my inspiration for a guillotine.
I fire a loaded mental cannon to the page.
Leaning on the pedestal that holds my self-denial.
Firing the pistol that shoots my holy pride.
Sitting here like wet ashes with X's in my eyes.
And drawing flies.
I said, Hey! What you yelling.
About conditions, permission, mirrored self-affliction?
Hey! What you yelling.
About sadists, co-addiction, perfect analogies?
Hey! What you yelling.
About conditions, permission, mirrored self-affliction.
Leaning on the pedestal that holds my self-denial.
Firing the pistol that shoots my holy pride.
Sitting here like wet ashes with X's in my eyes.
And drawing flies.
Flies.
Sitting here like uninvited company.
Wallowing in my own obscenity.
I share a cigarette with negativity.
Leaning on the pedestal that holds my self-denial.
Firing the pistol that shoots my holy pride.
Sitting here like wet ashes with X's in my eyes.
And drawing flies.
Flies.
"
901,998,"Girlie dress and making her best.
She makes up her hair for the '90s.
Dirty shoes and hiding her blues.
She's dying to lose what she's finding.
It's so easy to leave it or take it in stride, mm.
It's so easy to read when she's faking her smile.
She likes surprises, she likes surprises.
Anything in colorful disguises.
Lips and thighs abused by our eyes.
Acting surprised that she likes it.
Chocolate cream, an amphetamine.
Torn at the seams, she's crying.
It's so easy to leave it or take it in stride, yeah.
Yeah, it's so easy to read when she's faking her smile.
She likes surprises, she likes surprises.
Anything in colorful disguises, yeah.
Ooh.
She gets a little, I guess.
She gets it, more or less.
She likes surprises.
Anything in colorful disguises.
Woah, yeah.
It's so easy to leave it or take it in stride, oh.
It's so easy to read when she's faking her smile.
She like surprises, she likes surprises.
Anything in colorful disguises.
"
902,999,"Time is my friend.
Till it ain't, and runs out.
And that is all.
That I have, till it's gone.
Tried to build a home bones of birds.
Singing in the cold and fall to earth.
Hey! Sometimes she won't cry.
When the smallest one is trapped.
Too weak to survive.
Probably maybe.
Tried to look out.
Through a hole, in the vague.
Circling above.
Looking down, bird of prey.
Tried to build a home bones of birds.
Singing in the cold and fall to earth.
Hey! Sometimes she won't cry.
When the smallest one is trapped.
Too weak to survive.
Too weak to survive.
Too weak to survive.
Probably maybe.
Tried to build a home bones of birds.
Singing in the cold and fall to earth.
Hey! Sometimes she won't cry.
When the smallest one is trapped.
Too weak to survive.
Probably.
Hey! Sometimes she won't cry.
When the smallest one is trapped.
Too weak to survive.
Too weak to survive.
Too weak to survive.
Maybe.
"
903,1000,"I wish to wish.
I dream to dream.
I try to try.
And I live to live.
And I die to die.
And I cry to cry.
But I know why.
I wish to wish.
And I dream to dream.
I try to try.
And I live to live.
But I die to die.
And I cry to cry.
Somewhere in my dreams.
Of those who should.
Still, the willow weeps.
On roses for the dead.
In laughs of love.
From the likes of her.
To the time of me.
Like the moon to earth.
And the sky to sea.
Only we're no longer.
Allowed to be, to be.
Somewhere in my dreams.
Things that should.
Live in all the keeps.
Echo all the worlds.
In laughs of love.
For times that pass my life.
I'll search for the sky.
That she wanders by.
Somewhere in the dreams.
That the skies hold.
Still, the willow weeps.
On roses for her bed.
In laughs of love.
Somewhere in the dreams.
That the skies hold.
Still, the willow weeps.
On roses for the dead.
In laughs of love.
"
904,1001,"Huah!
Ooo, they saw you today as you were leaving.
Now they run to hunt you down.
Dogs lead the chase as you are bleeding.
They run to hunt you down.
Your narrow escape.
Has wiped the smile right from your face.
Those starved dogs howling.
Run to hunt you down.
As they run to hunt you down.
Ooo, you smile as you look in the mirror.
Tears have left your eyes.
Your face has a different exterior.
Permanent disguise.
Your narrow escape.
Has wiped the smile right from your face.
Those starved dogs howling.
Run to hunt you down.
I said.
Run to hunt you down.
Right now, ooo, right now, ooo, right now, right now, right now, right now.
Right, right, right, right, right.
"
905,1002,"Standing with my enemy.
Hung on my horns.
With haste and reverie.
Killing with charm.
Only happy when you hurt.
Only deadly in a swarm.
Only healthy in the dirt.
Only empty in your arm.
I play, I'm sick and tame.
Drawing the hordes.
I wait and show the lame.
The meaning of harm.
The skull beneath my feet.
Like feathers in sand.
I graze among the graves.
A feeling of peace.
Only bending when you break.
Only feeding when you're cold.
Only healing when you ache.
Only feeling when you don't.
Only bending when you break.
Only feeding when you're cold.
Only healing when you ache.
Only feeling when you don't.
"
906,1003,"Whoa!
You don't get nothing for free.
Kev and me were two of three.
Three brothers to the end.
Then one went full on Kev's mom.
Now things have changed, yeah.
Full on Kev's mom.
Full on Kev's mom.
Full on.
You don't get nothing for free.
And this one took the long way.
This one took the hard road.
I ain't saying who, but it wasn't me.
Yeah!
Full on Kev's mom.
Full on Kev's mom.
Full on.
Full on Kev's mom.
Full on Kev's mom.
Full on, mommy.
Full on Kev's mom.
Full on Kev's mom.
Full on Kev's mom.
Full on Kev's mom.
Full on Kev's mom.
Full on Kev's mom.
Full on Kev's mom.
Yeah!
We were three.
Kevin's mom made four.
(We don't come around anymore).
"
907,1004,"You hide your eyes.
But the ugly truth just loves to give it away.
You gave yourself.
If you were mine to give, I might throw it away.
You share.
But money can't give what the truth takes away.
Throw it away.
I painted my eyes.
Ugly isn't what I want to see.
I painted my mind.
Ugly isn't what I want to be.
I don't mind.
Truth don't look that good on me, yeah.
Throw it away, throw it away.
I don't think I really understand you.
And I can't see why I'd ever want to.
And even if it isn't mine to say.
I'll say it anyway.
It's ugly.
It's ugly.
It's ugly.
You're not mine to give.
You're not mine to give.
You're not mine to give.
You're not mine to give.
It's ugly.
If you were mine to give, I might throw it away.
If you were mine to give, I might throw it away.
If you were mine to give, I might throw it away.
Yeah, but money can't give what the truth takes away.
Throw it away.
Throw it away.
If you were mine to give.
If you were mine to give.
If you were mine to give.
If you were mine to give, I might throw it away.
If you were mine to give, I might throw it away.
If you were mine to give, I might throw it away.
Throw it away.
Throw it away.
"
908,1005,"Stealing love isn't stealing.
Can't you see that I understand your mind?
I'm a walking believer.
I'm a ghost and a healer.
I'm the shape of the hole inside your heart!
Not looking for a brighter side.
Crooked steps will take me higher.
I don't care if you want to cry!
I'm a soldier for hire.
Killing all you admire.
And you live in denial, but that will change.
Hey!
Not looking for a brighter side.
Crooked steps will take me higher.
I don't care if you want to cry!
Blood is raining down.
It cuts a deep, deep river, yeah.
And we're diving, yeah, we're diving.
My crooked steps.
Right behind you, right behind you.
My crooked steps.
Right behind you, right behind you.
My crooked steps.
(Right behind you...).
My crooked steps.
(Right behind you...).
I'm a walking believer.
I'm a ghost and a healer.
Can't you see that I understand your mind?
Can't you see that I understand your mind?
My crooked steps right behind you.
My crooked steps right behind you.
My crooked steps right behind you.
My crooked steps right behind you.
My crooked steps right behind you.
Right behind you.
Right behind you.
Right behind you.
"
909,1006,"Or the warmth of the land it's strange to us.
We don't own the freshness of the air.
Or the sparkle of the water.
How can you buy them from us.
The white man doesn't understand our ways.
For he's a stranger who comes in the night.
And takes from the land just what he needs.
Oh yeah.
He treats his brothers like his enemies.
When it's completed he moves on.
He leaves his father's grave and his birthright.
His birthright is forgotten.
The air is precious to the red man.
For all things share the same breath.
The white man won't notice the air he breathes.
Like a man dying for many days.
All right now.
The whites must treat the beasts of his land.
As his brothers not his enemies.
Tell me what is man without the beasts.
I'll bet he will die of loneliness.
One thing we know that the white man will.
We know our god is the same god.
You may think you wish to own him.
Own him as you wish to own our land.
But he is the body of man.
And the earth is precious to him.
Continue to contaminate your bed.
And you will suffocate in your waste.
"
910,1007,"Heeeeeeeeeeyyyyyy....
I think it's turning back around.
And I think I like it.
I think it's turning back around.
Though I don't know why it is.
I think it's turning back on me.
I'm down on the upside.
I think it's turning back on me.
Now I'm on the good ride.
And nothing's going to put me out.
It's backing down and under.
I'm down on the upside now.
It's turning back around.
Turning back around.
Heeeeeeeeeeyyyyyy....
I think it's coming on the wind.
Just like you said it.
I think it's coming on the wind.
And I'm going to let it.
I think it's turning back on me.
Everything's easy.
I think it's turning back on me.
Everything's real to me.
And nothing's going to put me out.
It's backing down and under.
I'm down on the upside now.
It's turning back around.
Turning back around.
Turning back around.
Fwooo....
Oooo...
Yeaahhhhh.....
I think it's coming on the wind.
Just like you said it.
I think it's coming on the wind.
And I'm going to let it out.
And nothing's going to put me out, yeah.
It's backing down and under.
I'm down on the upside now.
It's turning back around.
Turning back around.
Turning back around.
Turning back around.
(Turning, turning, turning).
Turning back around.
(Turning, turning, turning).
Turning back around.
(Turning, turning, turning).
Turning back around.
(Turning, turning, turning).
Turning back around.
Oooohhhh.
Ooooooooooo.
"
911,1008,"Woooh!
And I can count it on my fingers.
I have all my reasons not to feel.
I'm numb as rigor mortis.
Scared by monkey faces.
Drowned in shark fins.
But I don't feel like feeling.
I don't feel like feeling.
I don't feel like feeling.
Feeling like you.
Now I'm in the mirror.
Now it's getting clear.
I fear that I'm in you.
Now I'm into plastics.
Now I've made a mask.
It looks like fish heads.
But I don't feel like feeling.
I don't feel like feeling.
I don't feel like feeling.
Feeling like you.
I don't feel like feeling.
I don't feel like feeling.
I don't feel like feeling.
Feeling like you.
Wooh!
Face pollution.
Face pollution.
Face pollution.
Face pollution,  yeah!
Face pollution.
Face pollution.
Face pollution.
Face pollution, yeah!
Feel, feel.
Feel, feel.
Feel, feel.
Feel, feel.
Feel.
"
912,1009,"When new damage comes.
It's a faceless poison.
A new world order.
It's new damage done.
The wreck is going down.
Get out before you drown.
The wreck is going down.
Get out before you drown.
Get out, yeah.
When new damage comes.
It's a new word for plague.
A new world order.
A new word for hate.
The wreck is going down.
Get out before you drown.
The wreck is going down.
Get out before you drown.
Get out, yeah.
Before you drown.
Get out.
Get out.
Oh yeah.
Hey! Ohhh!
When new damage comes.
It's a new word for plague, yeah.
A new world order.
A new word for hate.
The wreck is going down.
Get out before you drown.
The wreck is going down.
Get out before you drown.
Get out, get out.
Get out, before you.
Drown.
Before you drown.
Get out.
Get out.
Get out.
Get out, get out.
Get out, oh yeah.
Get out before you drown.
Get out.
Get out.
Before you drown, before you drown.
Before, before you drown.
"
913,1010,"Lying like needles on forest earth.
Euphoric rush, trees bend to pray for us.
I'm sputtering like cold machines.
Late for the birth ritual.
Ritual, ritual, ritual.
You can drive my tail to watch the circus.
A birth ritual, a birth of idiots.
Now I woke up blessed, and good strives for heartache.
Marked for the death ritual.
Ritual, ritual.
As you start the song and face this garden.
I light a cigarette before the execution.
Now you see your crime for every miracle.
Add another drug at every birth ritual.
I took the drug to make me stay.
And now everything dies in shyness.
The snake retreats, admits defeat.
And waits for the birth ritual.
Ritual, ritual.
As you start the song and face this garden.
I light a cigarette before the execution.
Now you see your crime for every miracle.
Add another drug at every birth ritual.
Shining light.
Child's highs.
Mark his sides.
Bright until the newness wears off.
As you start the song and face this garden.
I light a cigarette before the execution.
Now you see your crime for every miracle.
Add another drug at every birth ritual.
Ritual, ritual, ritual.
"
914,1011,"Nothing, nothing, nothing but the one thing.
Someone said my words are out of balance.
Nothing to say, you've got nothing to say.
Dying words I bury everyday.
Nothing to say, I've got nothing to say.
Nothing but the one thing.
You've got nothing.
Nothing to say.
Nothing but the one thing.
Big bad word spell it with four letters.
Nothing to say, you've got nothing to say.
Oh my god, your words are out of balance.
Nothing to say, you've got nothing to say.
Nothing but the one thing.
Nothing, nothing.
You've got nothing.
Nothing to say.
Nothing but the one thing.
Nothing, nothing, nothing, nothing, nothing, nothing.
"
915,1012,"All your fears are lies.
All your fears are lies.
All your fears are lies.
All your fears are lies.
Yes.
See through your triplets, falling, limping, crawling.
Biting, fighting back from dying.
Endless ending, comprehending.
Nothing of the sin she's sinning.
Loosely buying your cheating, your lying.
Will make it mine while never crying.
Corralled like a cat with my head in a sack.
And I feel like I'm tied to a railroad track.
All your fears are lies.
All your fears are lies.
All your fears are lies.
All your fears are lies.
All your fears are lies.
See through your triplets, falling, limping, crawling.
Biting, fighting back from dying.
Endless ending, comprehending.
Nothing of the sin she's sinning.
Loosely buying your cheating, your lying.
Will make it mine while never crying.
Corralled like a cat with my head in a sack.
And I feel like I'm tied to a railroad track.
(All your fear are lies).
All your fears are lies.
All your fears are lies.
All your fears are lies.
All your fears are lies.
Yeah.
Yeah.
(...triplets, falling, limping, crawling.
Biting, fighting back from dying.
Endless ending, comprehending.
Nothing of the sin she's sinning.
Loosely buying, your cheating, your lying.
Will make it mine..).
Loosely buying your cheating, your lying.
Will make it mine while never crying.
Corralled like a cat with my head in a sack.
And I feel like I'm tied to a railroad track.
"
916,1013,"Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Moving is breathing, and breathing is life.
Stopping is dying, you'll be all right.
Life is a hammer waiting to drop.
Drift in the shallows, and the rowing won't stop.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Can't see the sky, nothing's on the horizon.
Can't feel my hands, and the water keeps rising.
Can't fall asleep, 'cause I wake up dead.
I just keep pulling, I just keep rowing.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Rowing is living, and living is hard.
But living beats losing all that we are.
All that we know of and all that we feel.
All we remember, imagined or real.
(All we remember, imagined or real).
Hey.
I heard an echo, but the answer had changed.
From the word I remembered that I started out saying.
Living is cheating, if you're not pulling oars.
The current is leaving, I'll get mine, you'll get yours.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Rowing is bleeding, bleeding is breathing.
Breathing is feeling, burning, and freezing.
We're getting dirty, but I started out clean.
Keep on rowing at.
Keep on rowing at.
Keep on pulling at.
Keep on pulling at.
Keep on rowing at.
Keep on rowing at.
Keep on rowing at.
Keep on rowing at.
Keep. on rowing.
Keep on rowing.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
Don't know where I'm going, I just keep on rowing.
I just keep on pulling, gotta row.
"
917,1014,"I woke up with my feet nailed down.
And my head moving the speed of sound.
Had a dream I was caught in a maze.
And I couldn't find my way back out.
Some were born to move mountains around.
And some to rot away in jail.
I get an itch, and when I am scratching.
Everything can go to hell.
And how far is halfway there?
I didn't see you on the trail now.
Did almost become good enough?
Should a good life be so hard won?
Is that what our dreams have become?
Sometimes when you're shooting an arrow.
It can fly across the sky so proud.
I would go all the way to the sun.
If I didn't have to come back down.
And how far is halfway there?
I didn't see you on the trail now.
Did almost become good enough?
Should a good life be so hard won?
Is that what our dreams have become?
Have become.
Yeah.
Have you got a car?
And somewhere to sleep?
Someone who loves you?
Something to eat?
I would say you're doing better than most.
Though maybe not as well as some.
And how far is halfway there?
I didn't see you on the trail now.
Did almost become good enough?
Should a good life be so hard won?
Is that what our dreams have become?
Is that what our dreams have become?
Woo ooo.
"
918,1015,"Promise something.
Kill me right away if I start to get slow.
And don't remember.
How to separate the worm from the apple.
Don't wait till tomorrow.
Kill me right away if I start to listen.
To the voices.
Telling all the mouths what they need to swallow.
Do that for me.
It's the least that you can do.
Don't be afraid.
I would do the same for you.
Burn out any memory of me ever breathing.
Till I'm born again.
I was thirsty.
I remember that you gave me some water.
I was angry.
Everything at once, you gave me no trouble.
I was crying.
I remember that you gave me your shoulder.
Do that for me.
It's the least that you can do.
Don't be afraid.
I would do the same for you.
Burn out any memory of me ever breathing.
Till I'm born again.
Born again.
Do that for me.
It's the least that you can do.
Don't be afraid.
I would do the same for you.
Burn out any memory of me ever breathing.
Till I'm born again.
Born again.
Born again.
Born again.
"
920,1017,"(Only forever..).
(It's only forever..).
No one can save the pure or the brave.
No one can save them at all.
Growth and decay.
Growth and decay.
It's only forever.
It's only forever.
Loosely and tightly, everything fits.
Even the wrist on your arm.
Growth and decay.
Growth and decay.
It's only forever.
It's only forever.
It's only forever.
It's only forever.
It's only forever.
It's only forever.
It's only forever.
Forever.....
"
